<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: priority_download.csv>index,candidate_id,下载批次,基材类别,题名,年份,期刊,DOI,下载入口,TG证据,LOI证据,预计状态_低,预计状态_高,访问状态,下载/提取提示
70,C117,A04,聚酯,Preparation and properties of PA@PANI conductive and flame retardant functional polyester fabric without droplet,2022,Materials Today Communications,10.1016/j.mtcomm.2021.103031,https://doi.org/10.1016/j.mtcomm.2021.103031,TG/DTG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
71,C118,A04,聚酯,Flame-retardant and anti-dripping coating for PET fabric with hydroxyl-containing cyclic phosphoramide,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109699,https://doi.org/10.1016/j.polymdegradstab.2021.109699,TGA已确认,LOI已确认,5,12,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
72,C131,A04,棉/聚酯,Strategy to the scaffold effect of polyester-cotton fabrics: A fully encapsulated chitosan-based flame-retardant coating with integrated antibacterial and recyclable properties,2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.150573,https://doi.org/10.1016/j.ijbiomac.2026.150573,TGA待PDF确认,LOI待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
73,C132,A04,棉/聚酯,"One-step and multi-functional polyester/cotton fabrics with phosphorylation chitosan: Its flame retardancy, anti-bacteria, hydrophobicity, and flame-retardant mechanism",2025,Progress in Organic Coatings,10.1016/j.porgcoat.2025.109179,https://doi.org/10.1016/j.porgcoat.2025.109179,TGA/机理分析待PDF确认,LOI/燃烧性能待PDF确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
74,C133,A04,棉/聚酯,Flammability and combustion behavior of the polyester/cotton blended fabric via an independent flame-retardation for two components strategy,2024,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110638,https://doi.org/10.1016/j.polymdegradstab.2023.110638,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
75,C134,A04,棉/聚酯,Formaldehyde-free durable flame-retardant finishing for polyester/cotton blended fabrics through chemical grafting and cross-linking,2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110531,https://doi.org/10.1016/j.polymdegradstab.2023.110531,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
76,C135,A04,棉/聚酯,Improving the flame retardant properties of polyester-cotton blend fabrics by introducing an intumescent coating via layer by layer assembly,2020,Journal of Applied Polymer Science,10.1002/app.49253,https://doi.org/10.1002/app.49253,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
77,C146,A04,棉/锦纶,Improving the fire performance and washing durability of nylon-cotton blend fabrics by the incorporation taurine derivatives,2022,Progress in Organic Coatings,,,TG已确认,LOI已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
78,C147,A04,棉/锦纶,The chemical bonding and fire performance of the nylon/cotton blend fabrics treated with a hydroxy-functional organophosphorus oligomer,2016,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2016.03.014,https://doi.org/10.1016/j.polymdegradstab.2016.03.014,TG已确认,LOI/燃烧已确认,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
79,C148,A04,棉/锦纶,Water-soluble polyelectrolyte complex nanocoating for flame retardant nylon-cotton fabric,2015,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2015.10.008,https://doi.org/10.1016/j.polymdegradstab.2015.10.008,TGA已确认/高度相关,燃烧性能已确认；LOI待PDF,5,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
80,C151,A05,芳纶,Covalently Modified Kevlar Fabric Incorporating Graphene Oxide with Enhanced Antibacterial Properties and Preserved Strength,2023,Chemistry – A European Journal,10.1002/chem.202301400,https://doi.org/10.1002/chem.202301400,TG已确认,LOI无/辅助参照,6,12,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
81,C045,A05,棉,Flame retardancy and durability of cotton fabric modified with high-efficiency diboraspiro rings groups flame retardant,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2025.140365,https://doi.org/10.1016/j.ijbiomac.2025.140365,TG待PDF确认,LOI已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
82,C046,A05,棉,Schiff base approach to introduce chitosan-phytic acid complex for flame-retardant cotton fabrics,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.113525,https://doi.org/10.1016/j.eurpolymj.2024.113525,TG已确认,LOI已确认,5,11,开放获取/出版社页,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
83,C047,A05,棉,"Preparations, characterizations, thermal and flame retardant properties of cotton fabrics finished by boron-silica sol-gel coatings",2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.110011,https://doi.org/10.1016/j.polymdegradstab.2022.110011,TG已确认,LOI已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
84,C048,A05,棉,Carbon nanotube-filled intumescent multilayer nanocoating on cotton fabric for enhancing flame retardant property,2016,Surface and Coatings Technology,10.1016/j.surfcoat.2016.08.035,https://doi.org/10.1016/j.surfcoat.2016.08.035,TG已确认,LOI/燃烧已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
85,C119,A05,聚酯,Fabrication and performance evaluation of hydrophobic flame-retardant coatings on polyester substrates via phytic acid and siloxane,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2025.109914,https://doi.org/10.1016/j.porgcoat.2025.109914,TG待PDF确认,LOI已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
86,C120,A05,聚酯,Application of a novel plasma-based method of introducing maleic acid and pentaerythritol phosphate urea salt onto polyester fabrics for durable flame-retardant treatment,2019,Textile Research Journal,10.1177/0040517519845685,https://doi.org/10.1177/0040517519845685,TG已确认,LOI已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
87,C136,A05,棉/聚酯,"A novel phosphoryl imidazolate flame retardant for polyester-cotton blend fabrics: Flame retardancy, thermal behavior and mechanical properties",2025,Thermochimica Acta,10.1016/j.tca.2025.179991,https://doi.org/10.1016/j.tca.2025.179991,TG已确认,LOI已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
88,C137,A05,棉/聚酯,Application of Silver-Loaded Halloysite Nanotubes in Flame Retardant and Smoke-Suppressive Coating for Polyester-Cotton Fabric,2023,ACS Applied Materials & Interfaces,10.1021/acsami.3c02139,https://doi.org/10.1021/acsami.3c02139,TG待PDF确认,LOI/燃烧已确认,5,11,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
89,C049,A05,棉,Interface-Engineered Dual-Layer Coatings for Flame-Retardant and Superhydrophobic Cotton Textiles,2026,ACS Applied Engineering Materials,10.1021/acsaenm.6c00378,https://doi.org/10.1021/acsaenm.6c00378,TGA已确认,LOI未在摘要确认；燃烧筛查已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
90,C050,A05,棉,Construction of Hybrid Coatings Enabling Flame Retardancy and Ultraviolet Protection in Cotton Textiles,2026,ACS Applied Polymer Materials,10.1021/acsapm.6c01025,https://doi.org/10.1021/acsapm.6c01025,TGA待PDF确认,LOI/燃烧性能待PDF确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
91,C051,A05,棉,Design and mechanistic elucidation of a boron/phosphorus/nitrogen-containing polymeric flame retardant for cotton fabrics,2026,Polymer,10.1016/j.polymer.2026.130209,https://doi.org/10.1016/j.polymer.2026.130209,热降解/TGA已明确；700°C残余量,LOI已明确,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
92,C052,A05,棉,"Developing flame-retardant, antibacterial cotton fabric by incorporating a linear polysiloxane-based coating",2023,Industrial Crops and Products,10.1016/j.indcrop.2022.115934,https://doi.org/10.1016/j.indcrop.2022.115934,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
93,C053,A05,棉,Phosphorous containing poly(amidoamine-organosilicon) (P@PAMAMOSi) flame retardants: Synthesis and sol-gel application on cotton fabrics,2023,Progress in Organic Coatings,,,TG已确认,LOI已确认,5,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
94,C054,A05,棉,"Bio-based coating of phytic acid, chitosan, and biochar for flame-retardant cotton fabrics",2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109898,https://doi.org/10.1016/j.polymdegradstab.2022.109898,TG已确认,LOI/燃烧已确认,5,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
95,C055,A05,棉,Construction phosphorus/nitrogen-containing flame-retardant and hydrophobic coating toward cotton fabric via layer-by-layer assembly,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109839,https://doi.org/10.1016/j.polymdegradstab.2022.109839,TG已确认,LOI/燃烧已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
96,C056,A05,棉,LBL generated fire retardant nanocomposites on cotton fabric using cationized starch-clay-nanoparticles matrix,2021,Carbohydrate Polymers,10.1016/j.carbpol.2021.118626,https://doi.org/10.1016/j.carbpol.2021.118626,TG已确认,LOI已确认,5,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
97,C057,A05,棉,"Properties of flame-retardant cotton fabrics: Combustion behavior, thermal stability and mechanism of Si/P/N synergistic effect",2021,Industrial Crops and Products,10.1016/j.indcrop.2021.114157,https://doi.org/10.1016/j.indcrop.2021.114157,TG/DTG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
98,C058,A05,棉,A facile and effective flame-retardant coating for cotton fabric with α-aminodiphosphonate siloxane,2020,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109312,https://doi.org/10.1016/j.polymdegradstab.2020.109312,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
99,C059,A05,棉,Flame retardancy and thermal behavior of cotton fabrics based on a novel phosphorus-containing siloxane,2019,Applied Surface Science,10.1016/j.apsusc.2019.02.159,https://doi.org/10.1016/j.apsusc.2019.02.159,TG/DTG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
100,C060,A06,棉,"Effect of genipin crosslinked layer-by-layer self-assembled coating on the thermal stability, flammability and wash durability of cotton fabric",2019,Carbohydrate Polymers,,,TG已确认,LOI/燃烧已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
101,C061,A06,棉,"Effect of genipin crosslinked layer-by-layer self-assembled coating on the thermal stability, flammability and wash durability of cotton fabric",2019,Carbohydrate Polymers,10.1016/j.carbpol.2018.11.037,https://doi.org/10.1016/j.carbpol.2018.11.037,TGA已由摘要明确确认（空气气氛）,未见LOI；有水平燃烧/MCC,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
102,C062,A06,棉,Synthesis of a phosphorus-nitrogen flame retardant endowing cotton with high whiteness and washability,2019,Industrial Crops and Products,10.1016/j.indcrop.2019.111738,https://doi.org/10.1016/j.indcrop.2019.111738,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
103,C063,A06,棉,One-pot fabrication of superhydrophobic and flame-retardant coatings on cotton fabrics via sol-gel reaction,2019,Journal of Colloid and Interface Science,10.1016/j.jcis.2018.08.060,https://doi.org/10.1016/j.jcis.2018.08.060,TG已确认,LOI/燃烧已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
104,C064,A06,棉,A novel flame retardant with reactive ammonium phosphate groups and polymerizing ability for preparing durable flame retardant and stiff cotton fabric,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.04.009,https://doi.org/10.1016/j.polymdegradstab.2019.04.009,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
105,C065,A06,棉,"A concise water-solvent synthesis of highly effective, durable, and eco-friendly flame-retardant coating on cotton fabrics",2018,Carbohydrate Polymers,10.1016/j.carbpol.2018.05.085,https://doi.org/10.1016/j.carbpol.2018.05.085,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
106,C066,A06,棉,Straightforward one-step solvent-free synthesis of the flame retardant for cotton with excellent efficiency and durability,2018,Carbohydrate Polymers,10.1016/j.carbpol.2018.08.078,https://doi.org/10.1016/j.carbpol.2018.08.078,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
107,C067,A06,棉,Development and Evaluation of a Water-Based Flame Retardant Spray Coating for Cotton Fabrics,2017,ACS Applied Materials & Interfaces,10.1021/acsami.7b09863,https://doi.org/10.1021/acsami.7b09863,TGA/热分解已确认,LOI待PDF；垂直燃烧已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
108,C068,A06,棉,A plant-based reactive ammonium phytate for use as a flame-retardant for cotton fabric,2017,Carbohydrate Polymers,10.1016/j.carbpol.2017.06.129,https://doi.org/10.1016/j.carbpol.2017.06.129,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
109,C069,A06,棉,Durable flame retardant finishing of cotton fabrics with halogen-free organophosphonate by UV photoinitiated thiol-ene click chemistry,2017,Carbohydrate Polymers,10.1016/j.carbpol.2017.05.054,https://doi.org/10.1016/j.carbpol.2017.05.054,TG已确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
110,C070,A06,棉,Fire retardant and thermal degradation properties of cotton fabrics based on APTES and sodium phytate through layer-by-layer assembly,2017,Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2016.11.026,https://doi.org/10.1016/j.jaap.2016.11.026,TG-FTIR/TGA在N2和空气均明确,LOI已明确；5/10/15 bilayers,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
111,C071,A06,棉,Flame retardation of cellulose-rich fabrics via a simplified layer-by-layer assembly,2016,Carbohydrate Polymers,10.1016/j.carbpol.2016.05.087,https://doi.org/10.1016/j.carbpol.2016.05.087,TG已确认,LOI待核,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
112,C121,A06,聚酯,"A versatile ionic liquid functionalized macromolecular nano-coating via surface-initiated PET-RAFT: Imparting flame retardancy, anti-dripping, and smoke suppression to polyester fabrics",2026,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2026.139665,https://doi.org/10.1016/j.colsurfa.2026.139665,热稳定性/TG待全文逐图确认,LOI已由摘要确认,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
113,C122,A06,聚酯,"Green flame-retardant coatings based on iron alginate for polyester fabrics: Thermal stability, flame retardancy and mechanical properties",2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.110207,https://doi.org/10.1016/j.polymdegradstab.2022.110207,TGA/thermal stability为论文核心,LOI已确认,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
114,C138,A06,棉/聚酯,"Sustainable, Scalable, and Highly Flame-Retardant Cellulose-Containing Fabrics",2025,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.4c07749,https://doi.org/10.1021/acssuschemeng.4c07749,TG/TGA待SI核验,LOI已明确,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
115,C139,A06,棉/聚酯,"A P/N flame retardant for polyester-cotton fabrics: Flame retardancy, mechanical properties and antibacterial property",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.129767,https://doi.org/10.1016/j.ijbiomac.2024.129767,TG待PDF确认,LOI已确认,4,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
116,C140,A06,棉/聚酯,Eco-friendly multifunctional coating for polyester-cotton blended fabrics with superior flame retardancy and antibacterial properties,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.132407,https://doi.org/10.1016/j.ijbiomac.2024.132407,热降解/炭与挥发物分析明确，TG待PDF位置核验,LOI已明确,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
117,C141,A06,棉/聚酯,Flame retardation of polyester/cotton blended fabrics via intumescent sol-gel coatings,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.110115,https://doi.org/10.1016/j.polymdegradstab.2022.110115,thermal decomposition behavior明确,LOI已明确；至少8%/15%添加量,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
118,C142,A06,棉/聚酯,Improving the flame retardant and antibacterial performance of polyester/cotton blend fabrics with organic-inorganic hybrid coating,2022,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2022.109944,https://doi.org/10.1016/j.polymdegradstab.2022.109944,TGA已明确；800°C残余质量摘要可核,LOI已明确,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
119,C149,A06,棉/锦纶,Eco-friendly flame retardant and smoke suppression coating containing boron compounds and phytic acids for nylon/cotton blend fabrics,2022,Industrial Crops and Products,10.1016/j.indcrop.2022.115239,https://doi.org/10.1016/j.indcrop.2022.115239,热降解/char分析明确；TGA待PDF图表位置确认,LOI已明确,4,10,出版社页已找到；全文/补充材料待下载核验,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
120,C152,A07,芳纶,Evaluating the thermal stability of high performance fibers by TGA,2005,Journal of Applied Polymer Science,10.1002/app.22305,https://doi.org/10.1002/app.22305,TG已确认,LOI通常无；作为TG基线,5,10,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
121,C072,A07,棉,Engineering Shatter Bloom Morphology in Inorganic–Organic Hybrid Systems for Improved Flame Retardant Performance of Cotton Fabric,2026,ACS Applied Engineering Materials,10.1021/acsaenm.6c00234,https://doi.org/10.1021/acsaenm.6c00234,TG待PDF确认,LOI/燃烧已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
122,C073,A07,棉,"Collaborative Interfacial Strategy for Constructing Cotton Fabrics with Flame Retardant, Strain Sensing, and Triple-Mode Thermal Management",2025,ACS Applied Materials & Interfaces,10.1021/acsami.5c10097,https://doi.org/10.1021/acsami.5c10097,TG待PDF确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
123,C074,A07,棉,"Preparation and performance of flame-retardant, superhydrophobic cotton fabric with enhanced wash durability and self-cleaning properties",2025,Surface and Coatings Technology,10.1016/j.surfcoat.2025.131903,https://doi.org/10.1016/j.surfcoat.2025.131903,TG待PDF确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
124,C075,A07,棉,Construction of composite self-assembly coating based on chitosan for enhancing the flame-retardant and antibacterial performances of cotton fabric,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.133355,https://doi.org/10.1016/j.ijbiomac.2024.133355,TG待PDF确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
125,C076,A07,棉,Construction of hydrophobic fire retardant coating on cotton fabric using a layer-by-layer spray coating method,2022,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.10.231,https://doi.org/10.1016/j.ijbiomac.2022.10.231,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
126,C077,A07,棉,Multifunctional MXene/Chitosan-Coated Cotton Fabric for Intelligent Fire Protection,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c05222,https://doi.org/10.1021/acsami.1c05222,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
127,C078,A07,棉,Self-cleaning cotton fabrics with good flame retardancy via one-pot approach,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109700,https://doi.org/10.1016/j.polymdegradstab.2021.109700,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
128,C079,A07,棉,"Novel and eco-friendly flame-retardant cotton fabrics with lignosulfonate and chitosan through LbL: Flame retardancy, smoke suppression and flame-retardant mechanism",2020,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109302,https://doi.org/10.1016/j.polymdegradstab.2020.109302,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
129,C080,A07,棉,An eco-friendly and effective flame retardant coating for cotton fabric based on phytic acid doped silica sol approach,2020,Progress in Organic Coatings,10.1016/j.porgcoat.2020.105539,https://doi.org/10.1016/j.porgcoat.2020.105539,TG已确认,LOI/燃烧已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
130,C081,A07,棉,Hybrid organic-inorganic hydrophobic and intumescent flame-retardant coating for cotton fabrics,2019,Composites Communications,10.1016/j.coco.2019.05.005,https://doi.org/10.1016/j.coco.2019.05.005,TG已确认,LOI/燃烧待PDF确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
131,C082,A07,棉,A novel high whiteness flame retardant for cotton,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.03.014,https://doi.org/10.1016/j.polymdegradstab.2019.03.014,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
132,C083,A07,棉,Synthesis and characterization of a phosphorous/nitrogen based sol-gel coating as a novel halogen- and formaldehyde-free flame retardant finishing for cotton fabric,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.02.006,https://doi.org/10.1016/j.polymdegradstab.2019.02.006,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
133,C084,A07,棉,Durable flame retardant finishing of cotton fabrics with poly(amidoamine) dendrimer using citric acid,2018,Materials Chemistry and Physics,10.1016/j.matchemphys.2018.08.058,https://doi.org/10.1016/j.matchemphys.2018.08.058,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
134,C085,A07,棉,A facile one-step synthesis of flame retardant coatings on cotton fabric via ultrasound irradiation,2017,Journal of Applied Polymer Science,10.1002/APP.45114,https://doi.org/10.1002/APP.45114,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
135,C086,A07,棉,A novel durable and high-phosphorous-containing flame retardant for cotton fabrics,2016,Cellulose,10.1007/s10570-016-0949-3,https://doi.org/10.1007/s10570-016-0949-3,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
136,C087,A07,棉,Fabrication of flame retardant coating on cotton fabric by alternate assembly of exfoliated layered double hydroxides and alginate,2016,RSC Advances,10.1039/C6RA21804K,https://doi.org/10.1039/C6RA21804K,TG已确认,LOI待PDF确认,4,9,开放全文/出版社页,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
137,C088,A07,棉,Enhanced flame-retardant property of fiber reactive halogen-free organophosphonate,2012,Industrial & Engineering Chemistry Research,10.1021/ie300964g,https://doi.org/10.1021/ie300964g,TG待PDF确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
138,C123,A07,聚酯,Construction of multifunctional coatings of polyester fabric for flame retardancy and personal thermal management,2025,Composites Part A: Applied Science and Manufacturing,10.1016/j.compositesa.2025.108772,https://doi.org/10.1016/j.compositesa.2025.108772,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
139,C124,A07,聚酯,Construction of flame retardant coating on polyester fabric with ammonium polyphosphate and carbon microspheres,2019,Polymer Degradation and Stability,,,TG已确认,LOI已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
140,C150,A08,棉/锦纶,Bio-Based Flame-Retardant Coatings Based on the Synergistic Combination of Tannic Acid and Phytic Acid for Nylon–Cotton Blends,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c16474,https://doi.org/10.1021/acsami.1c16474,TG已确认,燃烧已确认；LOI待PDF,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
141,C153,A08,芳纶,"Development of a Superhydrophobic, Self-Cleaning Aramid Fabric Integrating Photocatalytic and Flame-Retardant Functions",2026,ACS Applied Polymer Materials,10.1021/acsapm.6c00834,https://doi.org/10.1021/acsapm.6c00834,TG待PDF确认,燃烧性能已确认,4,9,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
