<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
62,CTG0064,B-明确商业品牌材料,Trevira CS®,10 g/L @40 psi,,Trevira® CS,聚酯,织物,inherently flame-retardant Trevira® CS fabric,,fluorochemical 10 g/L; mangle 40 psi,公共建筑窗帘/软包/交通内装/阻燃装饰织物,,,20,,,,,,410.59,439.31,,,,,,,Phase I final=567.20°C；Phase I weight loss=85.83%。原文列名为Final Phase I % Weight Loss，不作为固定温度残余质量。,原文Table 5,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Trevira CS品牌织物级实测；可作为07表Trevira CS商品族TG基线,气氛在当前表格片段未明确，暂留空；起始/峰温按原文Phase I定义。,是,2026-09-06
63,CTG0065,B-明确商业品牌材料,Trevira CS®,15 g/L @20 psi,,Trevira® CS,聚酯,织物,inherently flame-retardant Trevira® CS fabric,,fluorochemical 15 g/L; mangle 20 psi,公共建筑窗帘/软包/交通内装/阻燃装饰织物,,,20,,,,,,411.38,441.08,,,,,,,Phase I final=583.33°C；Phase I weight loss=86.24%。原文列名为Final Phase I % Weight Loss，不作为固定温度残余质量。,原文Table 5,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Trevira CS品牌织物级实测；可作为07表Trevira CS商品族TG基线,气氛在当前表格片段未明确，暂留空；起始/峰温按原文Phase I定义。,是,2026-09-06
64,CTG0066,B-明确商业品牌材料,Trevira CS®,15 g/L @40 psi,,Trevira® CS,聚酯,织物,inherently flame-retardant Trevira® CS fabric,,fluorochemical 15 g/L; mangle 40 psi,公共建筑窗帘/软包/交通内装/阻燃装饰织物,,,20,,,,,,411.72,441.5,,,,,,,Phase I final=592.65°C；Phase I weight loss=86.15%。原文列名为Final Phase I % Weight Loss，不作为固定温度残余质量。,原文Table 5,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Trevira CS品牌织物级实测；可作为07表Trevira CS商品族TG基线,气氛在当前表格片段未明确，暂留空；起始/峰温按原文Phase I定义。,是,2026-09-06
65,CTG0067,B-明确商业品牌材料,Trevira CS®,40 g/L @20 psi,,Trevira® CS,聚酯,织物,inherently flame-retardant Trevira® CS fabric,,fluorochemical 40 g/L; mangle 20 psi,公共建筑窗帘/软包/交通内装/阻燃装饰织物,,,20,,,,,,410.87,436.55,,,,,,,Phase I final=596.55°C；Phase I weight loss=90.88%。原文列名为Final Phase I % Weight Loss，不作为固定温度残余质量。,原文Table 5,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Trevira CS品牌织物级实测；可作为07表Trevira CS商品族TG基线,气氛在当前表格片段未明确，暂留空；起始/峰温按原文Phase I定义。,是,2026-09-06
66,CTG0068,B-明确商业品牌材料,Kermel®/viscose,Control,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,control,消防/应急/工业防护服辅助参照,,,20,,,,,,264.03,279.96,,,,,,,Phase I weight loss=34.11%；Phase II onset=514.34°C；Phase II final=624.19°C；Phase II weight loss=38.44%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
67,CTG0069,B-明确商业品牌材料,Kermel®/viscose,5 g/L @20 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 5 g/L; mangle 20 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,260.9,278.85,,,,,,,Phase I weight loss=34.81%；Phase II onset=525.30°C；Phase II final=646.15°C；Phase II weight loss=36.93%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
68,CTG0070,B-明确商业品牌材料,Kermel®/viscose,5 g/L @40 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 5 g/L; mangle 40 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,261.94,278.7,,,,,,,Phase I weight loss=35.72%；Phase II onset=543.70°C；Phase II final=626.77°C；Phase II weight loss=37.19%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
69,CTG0071,B-明确商业品牌材料,Kermel®/viscose,10 g/L @20 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 10 g/L; mangle 20 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,260.98,278.71,,,,,,,Phase I weight loss=35.28%；Phase II onset=531.34°C；Phase II final=642.17°C；Phase II weight loss=36.77%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
70,CTG0072,B-明确商业品牌材料,Kermel®/viscose,10 g/L @40 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 10 g/L; mangle 40 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,258.51,279.44,,,,,,,Phase I weight loss=36.16%；Phase II onset=527.50°C；Phase II final=649.39°C；Phase II weight loss=36.20%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
71,CTG0073,B-明确商业品牌材料,Kermel®/viscose,15 g/L @20 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 15 g/L; mangle 20 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,260.42,279.1,,,,,,,Phase I weight loss=35.69%；Phase II onset=552.91°C；Phase II final=607.95°C；Phase II weight loss=38.34%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
72,CTG0074,B-明确商业品牌材料,Kermel®/viscose,15 g/L @40 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 15 g/L; mangle 40 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,259.59,274.72,,,,,,,Phase I weight loss=35.17%；Phase II onset=546.21°C；Phase II final=614.38°C；Phase II weight loss=38.98%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
73,CTG0075,B-明确商业品牌材料,Kermel®/viscose,40 g/L @20 psi,,Kermel®,芳纶/粘胶,织物,Kermel® / viscose inherently FR blend,,fluorochemical 40 g/L; mangle 20 psi,消防/应急/工业防护服辅助参照,,,20,,,,,,256.26,275.85,,,,,,,Phase I weight loss=34.01%；Phase II onset=498.62°C；Phase II final=550.85°C；Phase II weight loss=21.97%。,原文Table 6,原始论文,Effect of Fluorochemicals on Flame-Retardant Fibers,2003.0,10.1177/1528083703034627,https://journals.sagepub.com/doi/10.1177/1528083703034627,Kermel品牌混纺织物级实测,当前抓取表未明确Kermel/viscose精确混纺比例；Tmax2栏保存原文Phase II起始温度而非峰温，因此只作为辅助字段使用。,是,2026-09-06
74,CTG0076,C-真实城市/军用NYCO织物体系,Control,Control - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,untreated,防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,0.8,,control,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
75,CTG0077,C-真实城市/军用NYCO织物体系,Control,Control - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,untreated,防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,11.46,,control,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
76,CTG0078,C-真实城市/军用NYCO织物体系,PSP/QMS-435,5 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 5 bilayers; weight add-on 50.55%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,16.8,,PSP/QMS-435; 5 bilayers; weight add-on=50.55%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
77,CTG0079,C-真实城市/军用NYCO织物体系,PSP/QMS-435,5 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 5 bilayers; weight add-on 50.55%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,23.42,,PSP/QMS-435; 5 bilayers; weight add-on=50.55%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
78,CTG0080,C-真实城市/军用NYCO织物体系,PSP/QMS-435,10 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 10 bilayers; weight add-on 102.89%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,27.2,,PSP/QMS-435; 10 bilayers; weight add-on=102.89%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
79,CTG0081,C-真实城市/军用NYCO织物体系,PSP/QMS-435,10 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 10 bilayers; weight add-on 102.89%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,27.26,,PSP/QMS-435; 10 bilayers; weight add-on=102.89%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
80,CTG0082,C-真实城市/军用NYCO织物体系,PSP/QMS-435,15 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 15 bilayers; weight add-on 165.89%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,37.4,,PSP/QMS-435; 15 bilayers; weight add-on=165.89%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
81,CTG0083,C-真实城市/军用NYCO织物体系,PSP/QMS-435,15 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 15 bilayers; weight add-on 165.89%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,28.79,,PSP/QMS-435; 15 bilayers; weight add-on=165.89%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
82,CTG0084,C-真实城市/军用NYCO织物体系,PSP/QMS-435,20 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 20 bilayers; weight add-on 195.67%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,34.2,,PSP/QMS-435; 20 bilayers; weight add-on=195.67%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
83,CTG0085,C-真实城市/军用NYCO织物体系,PSP/QMS-435,20 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/QMS-435, 20 bilayers; weight add-on 195.67%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,34.35,,PSP/QMS-435; 20 bilayers; weight add-on=195.67%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
84,CTG0086,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,5 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 5 bilayers; weight add-on 12.74%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,9.8,,PSP/WSA-9911; 5 bilayers; weight add-on=12.74%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
85,CTG0087,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,5 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 5 bilayers; weight add-on 12.74%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,19.51,,PSP/WSA-9911; 5 bilayers; weight add-on=12.74%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
86,CTG0088,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,10 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 10 bilayers; weight add-on 24.67%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,19.84,,PSP/WSA-9911; 10 bilayers; weight add-on=24.67%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
87,CTG0089,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,10 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 10 bilayers; weight add-on 24.67%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,23.54,,PSP/WSA-9911; 10 bilayers; weight add-on=24.67%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
88,CTG0090,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,15 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 15 bilayers; weight add-on 40.39%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,24.2,,PSP/WSA-9911; 15 bilayers; weight add-on=40.39%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
89,CTG0091,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,15 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 15 bilayers; weight add-on 40.39%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,29.34,,PSP/WSA-9911; 15 bilayers; weight add-on=40.39%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
90,CTG0092,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,20 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 20 bilayers; weight add-on 56.13%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,35.0,,PSP/WSA-9911; 20 bilayers; weight add-on=56.13%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
91,CTG0093,C-真实城市/军用NYCO织物体系,PSP/WSA-9911,20 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-9911, 20 bilayers; weight add-on 56.13%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,38.13,,PSP/WSA-9911; 20 bilayers; weight add-on=56.13%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
92,CTG0094,C-真实城市/军用NYCO织物体系,PSP/WSA-7021,5 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-7021, 5 bilayers; weight add-on 14.46%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,10.06,,PSP/WSA-7021; 5 bilayers; weight add-on=14.46%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
93,CTG0095,C-真实城市/军用NYCO织物体系,PSP/WSA-7021,5 bilayers - N2,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-7021, 5 bilayers; weight add-on 14.46%",防护服/应急救援/高风险城市工业作业辅助参照,N2,,,,,,,,,,,,,700.0,21.8,,PSP/WSA-7021; 5 bilayers; weight add-on=14.46%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
94,CTG0096,C-真实城市/军用NYCO织物体系,PSP/WSA-7021,10 bilayers - air,,US Army Natick supplied NYCO,棉/锦纶,织物,"camouflaged NYCO, 1:1 nylon/cotton",235.0,"PSP/WSA-7021, 10 bilayers; weight add-on 29.34%",防护服/应急救援/高风险城市工业作业辅助参照,air,,,,,,,,,,,,,700.0,21.2,,PSP/WSA-7021; 10 bilayers; weight add-on=29.34%。 处理后样品在空气中的降解起始约：QMS-435≈230°C；WSA-9911/7021≈310°C（正文约数）。,原文Table I,原始论文全文,Layer-by-layer assembly of halogen-free polymeric materials on nylon/cotton blend for flame retardant applications,2016.0,10.1002/fam.2280,https://onlinelibrary.wiley.com/doi/10.1002/fam.2280,真实50/50 NYCO织物；S4棉/锦纶重要辅助参照，但比例不同于88/12,R700为明确表格值；当前抓取文本未给TGA升温速率，留空。,是,2026-09-06
