<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: samples.csv>index,sample_id,material_id,study_id,原始样品名,基材类别,组成,混纺比例,聚合物亚型,材料形态,面密度(g/m²),处理状态,处理化学/阻燃剂,处理方法,添加量,添加量单位,添加量基准,样品状态,洗涤次数,洗涤标准,文献确认TG,文献确认LOI,基准角色,原文位置,限制说明,来源链接,TG记录数,TG数值状态,LOI数值状态,TG+LOI数值配对
98,L014-S010,L014-M010,L014,FR-Polyester50/Protex50,其他,FR-polyester/Protex,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,是,主参照,sample table/TGA/LOI sections,,https://doi.org/10.1016/j.heliyon.2023.e13127,1,有数值,有数值,是
99,L014-S011,L014-M011,L014,Nomex50/FR-Viscose50,芳纶混纺,Nomex/FR-viscose,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,否,主参照,sample table/TGA/LOI sections,LOI首批未提取,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,无LOI,否
100,L014-S012,L014-M012,L014,FR-Viscose50/Carbon50,其他,FR-viscose/carbon,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,否,主参照,sample table/TGA/LOI sections,LOI首批未提取,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,无LOI,否
101,L014-S013,L014-M013,L014,Nomex50/Carbon50,芳纶混纺,Nomex/carbon,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,否,主参照,sample table/TGA/LOI sections,LOI首批未提取,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,无LOI,否
102,L014-S014,L014-M014,L014,Protex50/Carbon50,其他,Protex/carbon,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,否,主参照,sample table/TGA/LOI sections,LOI首批未提取,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,无LOI,否
103,L014-S015,L014-M015,L014,FR-Polyester50/Carbon50,其他,FR-polyester/carbon,50/50,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,是,否,主参照,sample table/TGA/LOI sections,LOI首批未提取,https://doi.org/10.1016/j.heliyon.2023.e13127,1,仅曲线/待数字化,无LOI,否
104,L014-S016,L014-M016,L014,Protex70/FR-Polyester30,其他,Protex/FR-polyester,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
105,L014-S017,L014-M017,L014,FR-Polyester70/Nomex30,芳纶混纺,FR-polyester/Nomex,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
106,L014-S018,L014-M018,L014,Protex70/Nomex30,芳纶混纺,Protex/Nomex,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
107,L014-S019,L014-M019,L014,FR-Viscose70/Nomex30,芳纶混纺,FR-viscose/Nomex,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
108,L014-S020,L014-M020,L014,Nomex70/FR-Polyester30,芳纶混纺,Nomex/FR-polyester,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
109,L014-S021,L014-M021,L014,Nomex70/FR-Viscose30,芳纶混纺,Nomex/FR-viscose,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
110,L014-S022,L014-M022,L014,Nomex70/Carbon30,芳纶混纺,Nomex/carbon,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
111,L014-S023,L014-M023,L014,Carbon70/Nomex30,芳纶混纺,carbon/Nomex,70/30,,针织物,,本征阻燃/阻燃纤维体系,,,,,,,,,否,否,主参照,sample table/TGA/LOI sections,该样品未进入文中TG子集,https://doi.org/10.1016/j.heliyon.2023.e13127,0,无TG,无LOI,否
112,L015-S001,L015-M001,L015,PL,聚酯,100% polyester,,PET,织物,,未处理,,,,,,,,,是,是,主参照,Figure 5 / LOI results,TG为曲线，首批未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,1,仅曲线/待数字化,有数值,否
113,L015-S002,L015-M002,L015,CAB-PL,聚酯,100% polyester,,PET,织物,,阻燃涂层,calcium alginate/nano-calcium borate composite,post-cross-linking surface coating,,,,,,,是,是,主参照,Figure 5 / LOI results,TG为曲线，首批未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,1,仅曲线/待数字化,有数值,否
114,L016-S001,L016-M001,L016,PU/T,聚酯,polyester fabric,,PET,织物,,未处理,,,0.0,%,reported CPA-Al content,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym11121969,1,有数值,有数值,是
115,L016-S002,L016-M002,L016,7.1%CPA-Al/PU/T,聚酯,polyester fabric,,PET,织物,,阻燃处理,aluminum 2-carboxyethyl-phenyl-phosphinate (CPA-Al),,7.1,%,reported CPA-Al content,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym11121969,1,有数值,有数值,是
116,L016-S003,L016-M003,L016,10.3%CPA-Al/PU/T,聚酯,polyester fabric,,PET,织物,,阻燃处理,aluminum 2-carboxyethyl-phenyl-phosphinate (CPA-Al),,10.3,%,reported CPA-Al content,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym11121969,1,有数值,有数值,是
117,L016-S004,L016-M004,L016,14.7%CPA-Al/PU/T,聚酯,polyester fabric,,PET,织物,,阻燃处理,aluminum 2-carboxyethyl-phenyl-phosphinate (CPA-Al),,14.7,%,reported CPA-Al content,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/polym11121969,1,有数值,有数值,是
118,L017-S001,L017-M001,L017,PA,聚酯,polyester fabric,,PET,织物,,未处理/对照,,,,,,,,,是,否,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,无LOI,否
119,L017-S002,L017-M002,L017,PB,聚酯,polyester fabric,,PET,织物,,化学改性/阻燃处理,,,,,,,,,是,否,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,无LOI,否
120,L017-S003,L017-M003,L017,PC,聚酯,polyester fabric,,PET,织物,,化学改性/阻燃处理,,,,,,,,,是,否,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,无LOI,否
121,L017-S004,L017-M004,L017,PD,聚酯,polyester fabric,,PET,织物,,化学改性/阻燃处理,,,,,,,,,是,是,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,有数值,是
122,L017-S005,L017-M005,L017,PE,聚酯,polyester fabric,,PET,织物,,化学改性/阻燃处理,,,,,,,,,是,否,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,无LOI,否
123,L017-S006,L017-M006,L017,PF,聚酯,polyester fabric,,PET,织物,,化学改性/阻燃处理,,,,,,,,,是,否,主参照,TGA table/LOI section,全文访问有限；处理化学细节待全文回查,https://journals.sagepub.com/doi/10.1177/1528083716648761,1,有数值,无LOI,否
124,L018-S001,L018-M001,L018,PTCO,棉/聚酯,polyester-cotton fabric,未在首批提取片段确认,,织物,,未处理,,,,,,,,,是,是,主参照,TG figures/LOI table,TG数值首批未数字化；混纺比例待全文回查,https://doi.org/10.1016/j.aiepr.2024.03.001,1,仅曲线/待数字化,有数值,否
125,L018-S002,L018-M002,L018,PTCO/PPOA,棉/聚酯,polyester-cotton fabric,未在首批提取片段确认,,织物,,阻燃处理,modified phenylphosphonic acid / PPOA,,,,,,,,是,是,主参照,TG figures/LOI table,TG数值首批未数字化；混纺比例待全文回查,https://doi.org/10.1016/j.aiepr.2024.03.001,1,仅曲线/待数字化,有数值,否
126,L018-S003,L018-M003,L018,PTCO/POU,棉/聚酯,polyester-cotton fabric,未在首批提取片段确认,,织物,,阻燃处理,POU treatment,,,,,,,,是,是,主参照,TG figures/LOI table,TG数值首批未数字化；混纺比例待全文回查,https://doi.org/10.1016/j.aiepr.2024.03.001,1,仅曲线/待数字化,有数值,否
127,L019-S001,L019-M001,L019,Control,棉/聚酯,polyester/cotton blend,80/20,,织物,94.0,未处理,,,,,,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ma15186420,1,有数值,有数值,是
128,L019-S002,L019-M002,L019,T/C-1,棉/聚酯,polyester/cotton blend,80/20,,织物,94.0,阻燃涂层,P/N/B-based intumescent coating,,,,,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ma15186420,1,有数值,有数值,是
129,L019-S003,L019-M003,L019,T/C-2,棉/聚酯,polyester/cotton blend,80/20,,织物,94.0,阻燃涂层,P/N/B-based intumescent coating,,,,,,,,是,是,主参照,TGA/LOI tables,,https://doi.org/10.3390/ma15186420,1,有数值,有数值,是
130,L020-S001,L020-M001,L020,Cot,棉,100% cotton,,,织物,,未处理,,,,,,as-prepared,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
131,L020-S002,L020-M001,L020,Cot-(ws),棉,100% cotton,,,织物,,未处理,,,,,,water soaked/washed state,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
132,L020-S003,L020-M002,L020,Cot/GM-APTS,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
133,L020-S004,L020-M003,L020,Cot/GM-APTS_PL(N2/O2),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
134,L020-S005,L020-M002,L020,Cot/GM-APTS-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
135,L020-S006,L020-M003,L020,Cot/GM-APTS_PL(N2/O2)-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
136,L020-S007,L020-M004,L020,Cot/DAP-urea-APTS,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
137,L020-S008,L020-M005,L020,Cot/DAP-urea-APTS_PL,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
138,L020-S009,L020-M004,L020,Cot/DAP-urea-APTS-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
139,L020-S010,L020-M005,L020,Cot/DAP-urea-APTS_PL-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
140,L020-S011,L020-M006,L020,Cot/DBAP,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
141,L020-S012,L020-M007,L020,Cot_PL(Ar/CO2)_DBAP,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
142,L020-S013,L020-M008,L020,Cot_P(Ar/CO2)_DBAP,棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,as-prepared,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
143,L020-S014,L020-M006,L020,Cot/DBAP-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
144,L020-S015,L020-M007,L020,Cot_PL(Ar/CO2)_DBAP-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
145,L020-S016,L020-M008,L020,Cot_P(Ar/CO2)_DBAP-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,是,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,有数值,是
146,L020-S017,L020-M009,L020,Cot/DBAP_P(N2/CO2)-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
147,L020-S018,L020-M010,L020,Cot/DBAP_PL(N2/CO2)-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
148,L020-S019,L020-M011,L020,Cot_PL(Ar/CO2)_DBAP_PL(N2/O2)-(ws),棉,100% cotton,,,织物,,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,,water soaked/washed state,,,是,否,主参照,Table 8/Table 9,ws具体洗涤/浸水定义需按原文方法使用,https://doi.org/10.3390/molecules27248737,1,有数值,无LOI,否
149,L021-S001,L021-M001,L021,Control,棉,100% cotton,,,织物,,未处理,,,0.0,%,weight gain,as-prepared,,,是,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,2,有数值,有数值,是
150,L021-S002,L021-M002,L021,FRC-10,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,11.5,%,weight gain,as-prepared,,,否,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,0,无TG,有数值,否
151,L021-S003,L021-M003,L021,FRC-15,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,16.0,%,weight gain,as-prepared,,,否,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,0,无TG,有数值,否
152,L021-S004,L021-M004,L021,FRC-20,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,18.6,%,weight gain,as-prepared,,,是,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,2,有数值,有数值,是
153,L021-S005,L021-M002,L021,FRC-10 after 50 LCs,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,8.0,%,weight gain,50 laundering cycles,50.0,,否,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,0,无TG,有数值,否
154,L021-S006,L021-M003,L021,FRC-15 after 50 LCs,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,11.3,%,weight gain,50 laundering cycles,50.0,,否,否,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,0,无TG,无LOI,否
155,L021-S007,L021-M004,L021,FRC-20 after 50 LCs,棉,100% cotton,,,织物,,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,14.0,%,weight gain,50 laundering cycles,50.0,,否,是,主参照,Figure 8/LOI table,,https://doi.org/10.3390/ma17030630,0,无TG,有数值,否
156,L022-S001,L022-M001,L022,O-C,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA section,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,1,有数值,无LOI,否
157,L022-S002,L022-M002,L022,PP-C,棉,100% cotton,,,织物,,阻燃处理,phytic acid finishing,,,,,,,,是,否,主参照,TGA section,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,1,有数值,无LOI,否
158,L022-S003,L022-M003,L022,PPA-C,棉,100% cotton,,,织物,,阻燃处理,phytic acid + in-situ Ag nanoparticles,,,,,,,,是,否,主参照,TGA section,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,1,有数值,无LOI,否
159,L022-S004,L022-M001,L022,O-C-1 wash cycles,棉,100% cotton,,,织物,,未处理,,,,,,1 wash cycles,1.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
160,L022-S005,L022-M001,L022,O-C-10 wash cycles,棉,100% cotton,,,织物,,未处理,,,,,,10 wash cycles,10.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
161,L022-S006,L022-M001,L022,O-C-20 wash cycles,棉,100% cotton,,,织物,,未处理,,,,,,20 wash cycles,20.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
162,L022-S007,L022-M002,L022,PP-C-1 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid finishing,,,,,1 wash cycles,1.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
163,L022-S008,L022-M002,L022,PP-C-10 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid finishing,,,,,10 wash cycles,10.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
164,L022-S009,L022-M002,L022,PP-C-20 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid finishing,,,,,20 wash cycles,20.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
165,L022-S010,L022-M003,L022,PPA-C-1 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid + in-situ Ag nanoparticles,,,,,1 wash cycles,1.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
166,L022-S011,L022-M003,L022,PPA-C-10 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid + in-situ Ag nanoparticles,,,,,10 wash cycles,10.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
167,L022-S012,L022-M003,L022,PPA-C-20 wash cycles,棉,100% cotton,,,织物,,阻燃处理,phytic acid + in-situ Ag nanoparticles,,,,,20 wash cycles,20.0,,否,是,主参照,LOI washing results,TG仅对未明确洗涤状态的母样进行，不与该洗涤状态强配,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,0,无TG,有数值,否
168,L023-S001,L023-M001,L023,COT,棉,100% cotton,,,织物,,未处理,,,,,,as-prepared,,,是,否,主参照,Table 2/LOI results,,https://doi.org/10.3390/molecules29225306,2,有数值,无LOI,否
169,L023-S002,L023-M002,L023,COT-SC-Ba,棉,100% cotton,,,织物,,阻燃/离子螯合处理,sulfonic groups chelated with Ba2+,,,,,as-prepared,,,是,是,主参照,Table 2/LOI results,,https://doi.org/10.3390/molecules29225306,2,有数值,有数值,是
170,L023-S003,L023-M002,L023,COT-SC-Ba after 5 washes,棉,100% cotton,,,织物,,阻燃/离子螯合处理,sulfonic groups chelated with Ba2+,,,,,5 washes,5.0,,否,是,主参照,Table 2/LOI results,,https://doi.org/10.3390/molecules29225306,0,无TG,有数值,否
171,L023-S004,L023-M002,L023,COT-SC-Ba re-chelated after 5 washes,棉,100% cotton,,,织物,,阻燃/离子螯合处理,sulfonic groups chelated with Ba2+,,,,,5 washes + re-chelation,5.0,,否,是,主参照,Table 2/LOI results,,https://doi.org/10.3390/molecules29225306,0,无TG,有数值,否
172,L024-S001,L024-M001,L024,Cotton,棉,100% cotton,,,织物,,未处理,,,0.0,%,add-on,,,,是,是,主参照,TGA table/figure; LOI table,,https://doi.org/10.3390/polym16101409,1,有数值,有数值,是
173,L024-S002,L024-M002,L024,ATMP-CS@C5.5,棉,100% cotton,,,织物,,阻燃涂层,ATMP-chitosan coating,,5.5,%,add-on,,,,是,是,主参照,TGA table/figure; LOI table,,https://doi.org/10.3390/polym16101409,1,有数值,有数值,是
174,L024-S003,L024-M003,L024,ATMP-CS@C8.5,棉,100% cotton,,,织物,,阻燃涂层,ATMP-chitosan coating,,8.5,%,add-on,,,,是,是,主参照,TGA table/figure; LOI table,,https://doi.org/10.3390/polym16101409,1,仅曲线/待数字化,有数值,否
175,L024-S004,L024-M004,L024,ATMP-CS@C11.5,棉,100% cotton,,,织物,,阻燃涂层,ATMP-chitosan coating,,11.5,%,add-on,,,,是,是,主参照,TGA table/figure; LOI table,,https://doi.org/10.3390/polym16101409,1,有数值,有数值,是
176,L025-S001,L025-M001,L025,Pristine cotton,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA results,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,1,有数值,无LOI,否
177,L025-S002,L025-M002,L025,CH/APP cotton,棉,100% cotton,,,织物,,阻燃/功能涂层,chitosan/ammonium polyphosphate,LbL assembly + dip coating,,,,,,,是,否,主参照,TGA results,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,1,有数值,无LOI,否
178,L025-S003,L025-M003,L025,CH/APP@TiO2-SiO2-HMDS cotton,棉,100% cotton,,,织物,,阻燃/功能涂层,chitosan/APP + TiO2-SiO2-HMDS,LbL assembly + dip coating,,,,,,,是,否,主参照,TGA results,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,1,有数值,无LOI,否
179,L026-S001,L026-M001,L026,Pure cotton,棉,100% cotton,,,织物,,未处理,,,,,,unwashed,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
180,L026-S002,L026-M002,L026,Mercerized cotton,棉,100% cotton,,,织物,,丝光棉对照,,,,,,unwashed; mercerized,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
181,L026-S003,L026-M003,L026,S2.5,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
182,L026-S004,L026-M004,L026,S5,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
183,L026-S005,L026-M005,L026,S10,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
184,L026-S006,L026-M006,L026,S2.5M,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed; mercerized,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
185,L026-S007,L026-M007,L026,S5M,棉,100% cotton,,,织物,,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,,unwashed; mercerized,,,是,否,主参照,TGA table; LOI仅图示,LOI图未数字化,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,1,有数值,无LOI,否
