<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: candidate_pool.csv>index,candidate_id,优先级,基材类别,题名,年份,期刊,DOI,来源/下载链接,访问状态,TG证据,LOI证据,预计可贡献状态_低,预计可贡献状态_高,容量估计依据,候选说明,是否需用户下载全文,下载后动作
59,C060,A,棉,"Effect of genipin crosslinked layer-by-layer self-assembled coating on the thermal stability, flammability and wash durability of cotton fabric",2019,Carbohydrate Polymers,,,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,PubMed PMID 30553338；DOI待补,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
60,C061,A,棉,"Effect of genipin crosslinked layer-by-layer self-assembled coating on the thermal stability, flammability and wash durability of cotton fabric",2019,Carbohydrate Polymers,10.1016/j.carbpol.2018.11.037,https://doi.org/10.1016/j.carbpol.2018.11.037,出版社页已找到；全文/补充材料待下载核验,TGA已由摘要明确确认（空气气氛）,未见LOI；有水平燃烧/MCC,4,10,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
61,C062,A,棉,Synthesis of a phosphorus-nitrogen flame retardant endowing cotton with high whiteness and washability,2019,Industrial Crops and Products,10.1016/j.indcrop.2019.111738,https://doi.org/10.1016/j.indcrop.2019.111738,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
62,C063,A,棉,One-pot fabrication of superhydrophobic and flame-retardant coatings on cotton fabrics via sol-gel reaction,2019,Journal of Colloid and Interface Science,10.1016/j.jcis.2018.08.060,https://doi.org/10.1016/j.jcis.2018.08.060,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
63,C064,A,棉,A novel flame retardant with reactive ammonium phosphate groups and polymerizing ability for preparing durable flame retardant and stiff cotton fabric,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.04.009,https://doi.org/10.1016/j.polymdegradstab.2019.04.009,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
64,C065,A,棉,"A concise water-solvent synthesis of highly effective, durable, and eco-friendly flame-retardant coating on cotton fabrics",2018,Carbohydrate Polymers,10.1016/j.carbpol.2018.05.085,https://doi.org/10.1016/j.carbpol.2018.05.085,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
65,C066,A,棉,Straightforward one-step solvent-free synthesis of the flame retardant for cotton with excellent efficiency and durability,2018,Carbohydrate Polymers,10.1016/j.carbpol.2018.08.078,https://doi.org/10.1016/j.carbpol.2018.08.078,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
66,C067,A,棉,Development and Evaluation of a Water-Based Flame Retardant Spray Coating for Cotton Fabrics,2017,ACS Applied Materials & Interfaces,10.1021/acsami.7b09863,https://doi.org/10.1021/acsami.7b09863,出版社页已找到；全文权限待下载,TGA/热分解已确认,LOI待PDF；垂直燃烧已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,THPC/PDA喷涂；含洗涤状态，适合作为不同耐洗状态来源,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
67,C068,A,棉,A plant-based reactive ammonium phytate for use as a flame-retardant for cotton fabric,2017,Carbohydrate Polymers,10.1016/j.carbpol.2017.06.129,https://doi.org/10.1016/j.carbpol.2017.06.129,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
68,C069,A,棉,Durable flame retardant finishing of cotton fabrics with halogen-free organophosphonate by UV photoinitiated thiol-ene click chemistry,2017,Carbohydrate Polymers,10.1016/j.carbpol.2017.05.054,https://doi.org/10.1016/j.carbpol.2017.05.054,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
69,C070,A,棉,Fire retardant and thermal degradation properties of cotton fabrics based on APTES and sodium phytate through layer-by-layer assembly,2017,Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2016.11.026,https://doi.org/10.1016/j.jaap.2016.11.026,出版社页已找到；全文/补充材料待下载核验,TG-FTIR/TGA在N2和空气均明确,LOI已明确；5/10/15 bilayers,4,10,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
70,C071,A,棉,Flame retardation of cellulose-rich fabrics via a simplified layer-by-layer assembly,2016,Carbohydrate Polymers,10.1016/j.carbpol.2016.05.087,https://doi.org/10.1016/j.carbpol.2016.05.087,出版社页已找到；全文权限待下载,TG已确认,LOI待核,4,10,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
71,C072,A,棉,Engineering Shatter Bloom Morphology in Inorganic–Organic Hybrid Systems for Improved Flame Retardant Performance of Cotton Fabric,2026,ACS Applied Engineering Materials,10.1021/acsaenm.6c00234,https://doi.org/10.1021/acsaenm.6c00234,出版社页已找到；全文权限待下载,TG待PDF确认,LOI/燃烧已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
72,C073,A,棉,"Collaborative Interfacial Strategy for Constructing Cotton Fabrics with Flame Retardant, Strain Sensing, and Triple-Mode Thermal Management",2025,ACS Applied Materials & Interfaces,10.1021/acsami.5c10097,https://doi.org/10.1021/acsami.5c10097,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
73,C074,A,棉,"Preparation and performance of flame-retardant, superhydrophobic cotton fabric with enhanced wash durability and self-cleaning properties",2025,Surface and Coatings Technology,10.1016/j.surfcoat.2025.131903,https://doi.org/10.1016/j.surfcoat.2025.131903,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
74,C075,A,棉,Construction of composite self-assembly coating based on chitosan for enhancing the flame-retardant and antibacterial performances of cotton fabric,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.133355,https://doi.org/10.1016/j.ijbiomac.2024.133355,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
75,C076,A,棉,Construction of hydrophobic fire retardant coating on cotton fabric using a layer-by-layer spray coating method,2022,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2022.10.231,https://doi.org/10.1016/j.ijbiomac.2022.10.231,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
76,C077,A,棉,Multifunctional MXene/Chitosan-Coated Cotton Fabric for Intelligent Fire Protection,2021,ACS Applied Materials & Interfaces,10.1021/acsami.1c05222,https://doi.org/10.1021/acsami.1c05222,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
77,C078,A,棉,Self-cleaning cotton fabrics with good flame retardancy via one-pot approach,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109700,https://doi.org/10.1016/j.polymdegradstab.2021.109700,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
78,C079,A,棉,"Novel and eco-friendly flame-retardant cotton fabrics with lignosulfonate and chitosan through LbL: Flame retardancy, smoke suppression and flame-retardant mechanism",2020,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109302,https://doi.org/10.1016/j.polymdegradstab.2020.109302,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
79,C080,A,棉,An eco-friendly and effective flame retardant coating for cotton fabric based on phytic acid doped silica sol approach,2020,Progress in Organic Coatings,10.1016/j.porgcoat.2020.105539,https://doi.org/10.1016/j.porgcoat.2020.105539,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
80,C081,A,棉,Hybrid organic-inorganic hydrophobic and intumescent flame-retardant coating for cotton fabrics,2019,Composites Communications,10.1016/j.coco.2019.05.005,https://doi.org/10.1016/j.coco.2019.05.005,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧待PDF确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
81,C082,A,棉,A novel high whiteness flame retardant for cotton,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.03.014,https://doi.org/10.1016/j.polymdegradstab.2019.03.014,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
82,C083,A,棉,Synthesis and characterization of a phosphorous/nitrogen based sol-gel coating as a novel halogen- and formaldehyde-free flame retardant finishing for cotton fabric,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.02.006,https://doi.org/10.1016/j.polymdegradstab.2019.02.006,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
83,C084,A,棉,Durable flame retardant finishing of cotton fabrics with poly(amidoamine) dendrimer using citric acid,2018,Materials Chemistry and Physics,10.1016/j.matchemphys.2018.08.058,https://doi.org/10.1016/j.matchemphys.2018.08.058,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
84,C085,A,棉,A facile one-step synthesis of flame retardant coatings on cotton fabric via ultrasound irradiation,2017,Journal of Applied Polymer Science,10.1002/APP.45114,https://doi.org/10.1002/APP.45114,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
85,C086,A,棉,A novel durable and high-phosphorous-containing flame retardant for cotton fabrics,2016,Cellulose,10.1007/s10570-016-0949-3,https://doi.org/10.1007/s10570-016-0949-3,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
86,C087,A,棉,Fabrication of flame retardant coating on cotton fabric by alternate assembly of exfoliated layered double hydroxides and alginate,2016,RSC Advances,10.1039/C6RA21804K,https://doi.org/10.1039/C6RA21804K,开放全文/出版社页,TG已确认,LOI待PDF确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,否/可先直接读取,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
87,C088,A,棉,Enhanced flame-retardant property of fiber reactive halogen-free organophosphonate,2012,Industrial & Engineering Chemistry Research,10.1021/ie300964g,https://doi.org/10.1021/ie300964g,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,4,9,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
88,C089,A,棉,"Multifunctional Superamphiphobic Cotton Fabrics with Highly Efficient Flame Retardancy, Self-Cleaning, and Electromagnetic Interference Shielding",2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c21320,https://doi.org/10.1021/acsami.2c21320,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,3,8,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
89,C090,A,棉,"Ecofriendly Flame-Retardant Cotton Fabrics: Preparation, Flame Retardancy, Thermal Degradation Properties, and Mechanism",2019,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.9b05523,https://doi.org/10.1021/acssuschemeng.9b05523,出版社页已找到；全文/补充材料待下载核验,TG/TG-FTIR已明确,出版社页未直接显示LOI；垂直燃烧明确,4,8,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
90,C091,A,棉,Preparation of a halogen-free P/N/Si flame retardant monomer with reactive siloxy groups and its application in cotton fabrics,2017,Chinese Journal of Chemical Engineering,10.1016/j.cjche.2016.09.015,https://doi.org/10.1016/j.cjche.2016.09.015,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,8,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
91,C092,A,棉,"A novel phosphoramidate and its application on cotton fabrics: Synthesis, flammability and thermal degradation",2017,Journal of Analytical and Applied Pyrolysis,10.1016/j.jaap.2017.04.011,https://doi.org/10.1016/j.jaap.2017.04.011,出版社页已找到；全文/补充材料待下载核验,TG-FTIR已明确,LOI已明确,3,8,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
92,C093,A,棉,The thermal degradation pathway studies of a phosphazene derivative on cotton fabric,2015,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2015.04.032,https://doi.org/10.1016/j.polymdegradstab.2015.04.032,出版社页已找到；全文权限待下载,TGA/TGA-FTIR已确认,前序性能含LOI；本篇需PDF核对逐样品对应,3,8,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
93,C094,A,棉,Flame retardant finishing of cotton fabric based on synergistic compounds containing boron and nitrogen,2013,Carbohydrate Polymers,10.1016/j.carbpol.2013.06.014,https://doi.org/10.1016/j.carbpol.2013.06.014,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,8,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
94,C095,A,棉,"A novel durable flame-retardant cotton fabric using sodium hypophosphite, nano TiO2 and maleic acid",2011,Thermochimica Acta,10.1016/j.tca.2011.03.012,https://doi.org/10.1016/j.tca.2011.03.012,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,4,8,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
95,C096,A,棉,2D Hexagonal Boron Nitride-Coated Cotton Fabric with Self-Extinguishing Property,2020,ACS Applied Materials & Interfaces,10.1021/acsami.0c12647,https://doi.org/10.1021/acsami.0c12647,出版社页已找到；全文权限待下载,TG待PDF确认,LOI/燃烧已确认,3,7,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
96,C097,A,棉,Thermal behaviour and flame retardancy of monoethanolamine-doped sol-gel coatings of cotton fabric,2017,Progress in Organic Coatings,10.1016/j.porgcoat.2016.10.035,https://doi.org/10.1016/j.porgcoat.2016.10.035,出版社页已找到；全文/补充材料待下载核验,TGA已明确,LOI已明确,3,7,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
97,C098,A,棉,The thermal degradation pathway studies of a phosphazene derivative on cotton fabric,2015,Polymer Degradation and Stability,,,出版社页已找到；全文权限待下载,TGA-FTIR已确认,LOI待PDF确认,3,6,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,需进一步核对DOI,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
98,C099,A,聚酯,Advanced flame retardant polyester via nitrogen–phosphorus synergism and plasma-driven surface functionalization,2026,Surfaces and Interfaces,10.1016/j.surfin.2026.108657,https://doi.org/10.1016/j.surfin.2026.108657,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,8,18,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,两种处理策略×浓度×等离子循环×洗涤状态,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
99,C100,A,聚酯,Construction of nano-multilayer coatings on copolyester fabrics using UV-grafting mediated layer-by-layer self-assembly for improved anti-droplet and flame retardent performance,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109405,https://doi.org/10.1016/j.polymdegradstab.2020.109405,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,7,18,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,多种电解质组合×层数，材料状态潜力较大,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
100,C101,A,聚酯,Metallic phytates modified polyurethane coating for constructing long-lasting flame-retardant outdoor polyester fabric,2024,Progress in Organic Coatings,10.1016/j.porgcoat.2023.108205,https://doi.org/10.1016/j.porgcoat.2023.108205,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,7,16,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,4种金属植酸盐+加载量/洗涤；系列样品潜力高,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
101,C102,A,聚酯,Highly efficient flame retardation of polyester fabrics via novel DOPO-modified sol-gel coatings,2021,Polymer,10.1016/j.polymer.2021.123761,https://doi.org/10.1016/j.polymer.2021.123761,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,7,16,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,1–8 wt% add-on 系列，优先下载,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
102,C103,A,聚酯,Flame retardant polyester fabric from nitrogen-rich low molecular weight additives within intumescent nanocoating,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.108998,https://doi.org/10.1016/j.polymdegradstab.2019.108998,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,7,16,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,多种小分子+不同BL,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
103,C104,A,聚酯,A Highly Wash-Durable Flame-Retardant Finishing for Polyester (PET) Fabrics via a Facile Postfinishing,2026,ACS Applied Polymer Materials,10.1021/acsapm.5c03938,https://doi.org/10.1021/acsapm.5c03938,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,6,15,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,SI有多个工艺变量和样品,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
104,C105,A,聚酯,Flame-Retardant and Electromagnetic Interference Shielding Hierarchical Composites by Interfacial Integration of TPU/APP@ZrCu-MOF/SCF and Functionalized Polyester Fabric,2026,ACS Applied Polymer Materials,10.1021/acsapm.6c01300,https://doi.org/10.1021/acsapm.6c01300,出版社页已找到；全文权限待下载,支持信息明确含TGA曲线和数据,LOI已确认,6,15,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,功能化PET织物+多配方TPU复合体系；复合结构需单列，不与纯PET织物默认等同,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
105,C106,A,聚酯,Environmentally benign few-bilayer intumescent nanocoating for flame retardant enzyme/plasma modified polyester fabric,2023,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2023.110406,https://doi.org/10.1016/j.polymdegradstab.2023.110406,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,6,15,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
106,C107,A,聚酯,Biobased Layer-by-Layer Assembly of Adenosine Triphosphate and Phosphorylated Chitosan for Flame-Retardant and Antibacterial Polyester Fabric,2026,Journal of Polymer Science,10.1002/pol.20251226,https://doi.org/10.1002/pol.20251226,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
107,C108,A,聚酯,Durable flame retardant and anti-dripping of PET fabric using bio-based covalent crosslinking intumescent system of chitosan and phytic acid,2023,Progress in Organic Coatings,,,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,DOI待补,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
108,C109,A,聚酯,Durable flame retardant and dip-resistant coating of polyester fabrics by plasma surface treatment and UV-curing,2022,Progress in Organic Coatings,10.1016/j.porgcoat.2022.107066,https://doi.org/10.1016/j.porgcoat.2022.107066,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
109,C110,A,聚酯,Durable flame retardant treatment of polyethylene terephthalate (PET) fabric with cross-linked layer-by-layer assembled coating,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.05.009,https://doi.org/10.1016/j.polymdegradstab.2019.05.009,出版社页已找到；全文权限待下载,TG已确认,LOI/燃烧已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
110,C111,A,聚酯,Intumescent flame retardant and anti-dripping of PET fabrics through layer-by-layer assembly of chitosan and ammonium polyphosphate,2019,Progress in Organic Coatings,10.1016/j.porgcoat.2019.05.010,https://doi.org/10.1016/j.porgcoat.2019.05.010,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
111,C112,A,聚酯,"Fire-retardant multilayer assembled on polyester fabric from water-soluble chitosan, sodium alginate and divalent metal ion",2018,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2018.08.043,https://doi.org/10.1016/j.ijbiomac.2018.08.043,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,层数系列，预计状态产出高,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
112,C113,A,聚酯,A novel strategy for fabricating highly-efficient flame-retardant polyester fabrics utilizing dual phosphorus oxidation states,2026,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2025.111740,https://doi.org/10.1016/j.polymdegradstab.2025.111740,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
113,C114,A,聚酯,Construction of melamine-Schiff base assisted phosphorus-nitrogen synergistic flame-retardant system on polyester fabric,2026,Polymer Testing,10.1016/j.polymertesting.2026.109236,https://doi.org/10.1016/j.polymertesting.2026.109236,出版社页已找到；全文权限待下载,TG/热降解参数已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
114,C115,A,聚酯,Bio-based self-adhesive intumescent flame-retardant system for polyester,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2026.110008,https://doi.org/10.1016/j.porgcoat.2026.110008,出版社页已找到；全文权限待下载,TG待PDF确认,LOI/燃烧待PDF确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
115,C116,A,聚酯,Fabrication of a highly efficient flame-retardant sol-gel coating for polyester fabric and microfiber synthetic leather integrating dual phosphorus oxidation states,2026,Progress in Organic Coatings,10.1016/j.porgcoat.2026.110317,https://doi.org/10.1016/j.porgcoat.2026.110317,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
116,C117,A,聚酯,Preparation and properties of PA@PANI conductive and flame retardant functional polyester fabric without droplet,2022,Materials Today Communications,10.1016/j.mtcomm.2021.103031,https://doi.org/10.1016/j.mtcomm.2021.103031,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
117,C118,A,聚酯,Flame-retardant and anti-dripping coating for PET fabric with hydroxyl-containing cyclic phosphoramide,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2021.109699,https://doi.org/10.1016/j.polymdegradstab.2021.109699,出版社页已找到；全文/补充材料待下载核验,TGA已确认,LOI已确认,5,12,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
