<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: scatter_ready.csv>index,record_id,dataset_type,sample_id,study_id,evidence_level,brand_or_system,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,add_on,add_on_unit,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T20_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,max_mass_loss_rate,rate_unit,R400_pct,R500_pct,R600_pct,R650_pct,R700_pct,R800_pct,residue_temp_C,residue_pct,LOI_pct,numeric_TG,numeric_LOI,direct_numeric_use,source_title,year,journal_or_source_type,DOI,source_url,source_location,limitations
125,TG0126,literature,L020-S007,L020,,,棉,织物,100% cotton,Cot/DAP-urea-APTS,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,270.0,,,313.0,524.0,,,,49.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
126,TG0127,literature,L020-S008,L020,,,棉,织物,100% cotton,Cot/DAP-urea-APTS_PL,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,291.0,,,312.0,511.0,,,,50.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
127,TG0128,literature,L020-S009,L020,,,棉,织物,100% cotton,Cot/DAP-urea-APTS-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,287.0,,,313.0,489.0,,,,33.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
128,TG0129,literature,L020-S010,L020,,,棉,织物,100% cotton,Cot/DAP-urea-APTS_PL-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,285.0,,,313.0,490.0,,,,31.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
129,TG0130,literature,L020-S011,L020,,,棉,织物,100% cotton,Cot/DBAP,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,189.0,,,291.0,504.0,,,,35.0,,,,,,,,27.4,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
130,TG0131,literature,L020-S012,L020,,,棉,织物,100% cotton,Cot_PL(Ar/CO2)_DBAP,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,196.0,,,293.0,497.0,,,,32.6,,,,,,,,27.7,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
131,TG0132,literature,L020-S013,L020,,,棉,织物,100% cotton,Cot_P(Ar/CO2)_DBAP,阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,188.0,,,293.0,495.0,,,,30.5,,,,,,,,27.7,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
132,TG0133,literature,L020-S014,L020,,,棉,织物,100% cotton,Cot/DBAP-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,307.0,,,332.0,476.0,,,,14.0,,,,,,,,19.5,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
133,TG0134,literature,L020-S015,L020,,,棉,织物,100% cotton,Cot_PL(Ar/CO2)_DBAP-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,300.0,,,330.0,490.0,,,,16.4,,,,,,,,19.5,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
134,TG0135,literature,L020-S016,L020,,,棉,织物,100% cotton,Cot_P(Ar/CO2)_DBAP-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,303.0,,,330.0,472.0,,,,12.0,,,,,,,,19.5,是,是,是,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
135,TG0136,literature,L020-S017,L020,,,棉,织物,100% cotton,Cot/DBAP_P(N2/CO2)-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,281.0,,,306.0,490.0,,,,23.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
136,TG0137,literature,L020-S018,L020,,,棉,织物,100% cotton,Cot/DBAP_PL(N2/CO2)-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,285.0,,,319.0,489.0,,,,19.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
137,TG0138,literature,L020-S019,L020,,,棉,织物,100% cotton,Cot_PL(Ar/CO2)_DBAP_PL(N2/O2)-(ws),阻燃/等离子体复合处理,GM-APTS / DAP-urea-APTS / DBAP variants,atmospheric plasma/UV-assisted finishing,,,air,,,,292.0,,,322.0,489.0,,,,15.0,,,,,,,,,是,否,否,The Effect of Combined Atmospheric Plasma/UV Treatments on Improving the Durability of Flame Retardants Applied to Cotton,2022.0,Molecules,10.3390/molecules27248737,https://doi.org/10.3390/molecules27248737,Table 8,ws具体洗涤/浸水定义需按原文方法使用
138,TG0139,literature,L021-S001,L021,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,N2,,,,,,,,,,,,,,,,5.54,,,,18.3,是,是,是,Phosphamide-Based Washing-Durable Flame Retardant for Cotton Fabrics,2024.0,Materials,10.3390/ma17030630,https://doi.org/10.3390/ma17030630,Figure 8/text,
139,TG0140,literature,L021-S004,L021,,,棉,织物,100% cotton,FRC-20,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,18.6,%,N2,,,,,,,,,,,,,,,,31.21,,,,48.4,是,是,是,Phosphamide-Based Washing-Durable Flame Retardant for Cotton Fabrics,2024.0,Materials,10.3390/ma17030630,https://doi.org/10.3390/ma17030630,Figure 8/text,
140,TG0141,literature,L021-S001,L021,,,棉,织物,100% cotton,Control,未处理,,,0.0,%,air,,,,,,,,,,,,,,,,0.0,,,,18.3,是,是,是,Phosphamide-Based Washing-Durable Flame Retardant for Cotton Fabrics,2024.0,Materials,10.3390/ma17030630,https://doi.org/10.3390/ma17030630,Figure 8/text,
141,TG0142,literature,L021-S004,L021,,,棉,织物,100% cotton,FRC-20,阻燃处理,phosphamide-based ATPEPDPA flame retardant,,18.6,%,air,,,,,,,,,,,,,,,,14.23,,,,48.4,是,是,是,Phosphamide-Based Washing-Durable Flame Retardant for Cotton Fabrics,2024.0,Materials,10.3390/ma17030630,https://doi.org/10.3390/ma17030630,Figure 8/text,
142,TG0143,literature,L022-S001,L022,,,棉,织物,100% cotton,O-C,未处理,,,,,,,20,,,,255.0,340.0,,,,,,,,,,,,,,是,否,否,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,TGA at different heating rates,
143,TG0144,literature,L022-S002,L022,,,棉,织物,100% cotton,PP-C,阻燃处理,phytic acid finishing,,,,,,20,,,,190.0,270.0,,,,,,,,,,,,,,是,否,否,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,TGA at different heating rates,
144,TG0145,literature,L022-S003,L022,,,棉,织物,100% cotton,PPA-C,阻燃处理,phytic acid + in-situ Ag nanoparticles,,,,,,20,,,,,297.0,,,,,,,,,,,,,,是,否,否,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022.0,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,TGA at different heating rates,首批未取得对应onset明确数值
145,TG0146,literature,L023-S001,L023,,,棉,织物,100% cotton,COT,未处理,,,,,air,,,,,,310.6,339.2,,,18.3,%/min or original unit,,,,,,0.02,,,,是,否,否,Study on Flame Retardancy of Cotton Fabric Modified by Sulfonic Groups Chelated with Ba2+,2024.0,Molecules,10.3390/molecules29225306,https://doi.org/10.3390/molecules29225306,Table 2,
146,TG0147,literature,L023-S002,L023,,,棉,织物,100% cotton,COT-SC-Ba,阻燃/离子螯合处理,sulfonic groups chelated with Ba2+,,,,air,,,,,,261.5,315.8,,,11.8,%/min or original unit,,,,,,26.9,,,34.4,是,是,是,Study on Flame Retardancy of Cotton Fabric Modified by Sulfonic Groups Chelated with Ba2+,2024.0,Molecules,10.3390/molecules29225306,https://doi.org/10.3390/molecules29225306,Table 2,
147,TG0148,literature,L023-S001,L023,,,棉,织物,100% cotton,COT,未处理,,,,,N2,,,,,,322.6,357.9,,,14.6,%/min or original unit,,,,,,8.05,,,,是,否,否,Study on Flame Retardancy of Cotton Fabric Modified by Sulfonic Groups Chelated with Ba2+,2024.0,Molecules,10.3390/molecules29225306,https://doi.org/10.3390/molecules29225306,Table 2,
148,TG0149,literature,L023-S002,L023,,,棉,织物,100% cotton,COT-SC-Ba,阻燃/离子螯合处理,sulfonic groups chelated with Ba2+,,,,N2,,,,,,266.2,315.1,,,14.7,%/min or original unit,,,,,,26.8,,,34.4,是,是,是,Study on Flame Retardancy of Cotton Fabric Modified by Sulfonic Groups Chelated with Ba2+,2024.0,Molecules,10.3390/molecules29225306,https://doi.org/10.3390/molecules29225306,Table 2,原表N2处理样行标签疑似写为COT-SC-Ga；本记录按文章主体Ba体系关联但明确保留此审计问题
149,TG0150,literature,L024-S001,L024,,,棉,织物,100% cotton,Cotton,未处理,,,0.0,%,N2,25.0,10,327.4,,,,357.4,,,1.43,%/°C,,,,,6.8,,,,18.0,是,是,是,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024.0,Polymers,10.3390/polym16101409,https://doi.org/10.3390/polym16101409,TGA table/figure,
150,TG0151,literature,L024-S002,L024,,,棉,织物,100% cotton,ATMP-CS@C5.5,阻燃涂层,ATMP-chitosan coating,,5.5,%,N2,25.0,10,256.6,,,,299.0,,,0.74,%/°C,,,,,30.2,,,,23.5,是,是,是,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024.0,Polymers,10.3390/polym16101409,https://doi.org/10.3390/polym16101409,TGA table/figure,
151,TG0152,literature,L024-S003,L024,,,棉,织物,100% cotton,ATMP-CS@C8.5,阻燃涂层,ATMP-chitosan coating,,8.5,%,N2,25.0,10,,,,,,,,,%/°C,,,,,,,,,25.9,否,是,否,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024.0,Polymers,10.3390/polym16101409,https://doi.org/10.3390/polym16101409,TGA table/figure,C8.5精确TG参数首批未取得，保留真实状态与TG存在性
152,TG0153,literature,L024-S004,L024,,,棉,织物,100% cotton,ATMP-CS@C11.5,阻燃涂层,ATMP-chitosan coating,,11.5,%,N2,25.0,10,249.7,,,,290.1,,,0.65,%/°C,,,,,34.1,,,,29.7,是,是,是,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024.0,Polymers,10.3390/polym16101409,https://doi.org/10.3390/polym16101409,TGA table/figure,
153,TG0154,literature,L025-S001,L025,,,棉,织物,100% cotton,Pristine cotton,未处理,,,,,N2,,,,300.0,,,358.0,,,,,,,,,,11.1,,,,是,否,否,Facile Fabrication of Superhydrophobic and Flame-Retardant Coatings on Cotton Fabrics,2022.0,Polymers,10.3390/polym14235314,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,TGA results,
154,TG0155,literature,L025-S002,L025,,,棉,织物,100% cotton,CH/APP cotton,阻燃/功能涂层,chitosan/ammonium polyphosphate,LbL assembly + dip coating,,,N2,,,,224.0,,,277.0,,,,,,,,,,35.1,,,,是,否,否,Facile Fabrication of Superhydrophobic and Flame-Retardant Coatings on Cotton Fabrics,2022.0,Polymers,10.3390/polym14235314,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,TGA results,
155,TG0156,literature,L025-S003,L025,,,棉,织物,100% cotton,CH/APP@TiO2-SiO2-HMDS cotton,阻燃/功能涂层,chitosan/APP + TiO2-SiO2-HMDS,LbL assembly + dip coating,,,N2,,,,224.0,,,273.0,,,,,,,,,,36.4,,,,是,否,否,Facile Fabrication of Superhydrophobic and Flame-Retardant Coatings on Cotton Fabrics,2022.0,Polymers,10.3390/polym14235314,https://pmc.ncbi.nlm.nih.gov/articles/PMC9736095/,TGA results,
156,TG0157,literature,L026-S001,L026,,,棉,织物,100% cotton,Pure cotton,未处理,,,,,N2,,10,290.0,329.0,344.0,,361.0,,,2.6,%/°C,,,,,0.38,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
157,TG0158,literature,L026-S002,L026,,,棉,织物,100% cotton,Mercerized cotton,丝光棉对照,,,,,N2,,10,275.0,317.0,340.0,,367.0,,,2.01,%/°C,,,,,0.66,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
158,TG0159,literature,L026-S003,L026,,,棉,织物,100% cotton,S2.5,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,245.0,266.0,283.0,,303.0,,,1.31,%/°C,,,,,11.8,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
159,TG0160,literature,L026-S004,L026,,,棉,织物,100% cotton,S5,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,248.0,264.0,279.0,,294.0,,,1.07,%/°C,,,,,20.6,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
160,TG0161,literature,L026-S005,L026,,,棉,织物,100% cotton,S10,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,237.0,253.0,271.0,,293.0,,,0.72,%/°C,,,,,29.5,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
161,TG0162,literature,L026-S006,L026,,,棉,织物,100% cotton,S2.5M,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,244.0,267.0,287.0,,308.0,,,1.48,%/°C,,,,,14.7,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
162,TG0163,literature,L026-S007,L026,,,棉,织物,100% cotton,S5M,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,241.0,258.0,277.0,,295.0,,,0.89,%/°C,,,,,21.4,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
163,TG0164,literature,L026-S008,L026,,,棉,织物,100% cotton,S10M,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,234.0,250.0,269.0,,252.0,,,0.6,%/°C,,,,,36.8,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
164,TG0165,literature,L026-S009,L026,,,棉,织物,100% cotton,S2.5W,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,249.0,270.0,288.0,,308.0,,,1.31,%/°C,,,,,8.4,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
165,TG0166,literature,L026-S010,L026,,,棉,织物,100% cotton,S5W,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,244.0,265.0,283.0,,304.0,,,1.28,%/°C,,,,,15.0,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
166,TG0167,literature,L026-S011,L026,,,棉,织物,100% cotton,S10W,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,235.0,251.0,269.0,,289.0,,,0.61,%/°C,,,,,27.0,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
167,TG0168,literature,L026-S012,L026,,,棉,织物,100% cotton,S2.5MW,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,258.0,278.0,293.0,,312.0,,,1.5,%/°C,,,,,12.5,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
168,TG0169,literature,L026-S013,L026,,,棉,织物,100% cotton,S5MW,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,243.0,262.0,281.0,,302.0,,,1.19,%/°C,,,,,14.2,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
169,TG0170,literature,L026-S014,L026,,,棉,织物,100% cotton,S10MW,阻燃处理,P/S/Si-containing silane flame retardant,sol–gel finishing,,,N2,,10,235.0,250.0,269.0,,292.0,,,0.71,%/°C,,,,,36.9,,,,,是,否,否,"Synthesis of phosphorus, sulfur and silicon-containing flame retardant via thiol-ene click reaction and its use for durable finishing of cotton fabric",2024.0,Scientific Reports,10.1038/s41598-024-71071-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC11362145/,TGA table,LOI图未数字化
170,TG0171,literature,L027-S001,L027,,,棉,织物,100% cotton,Cotton,未处理,,,,,synthetic air,60.0,10,,,,338.84,363.04,,,,,,,,,7.378,,,,18.0,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
171,TG0172,literature,L027-S002,L027,,,棉,织物,100% cotton,C-POSS,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,341.46,364.45,,,,,,,,,14.02,,,,18.0,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
172,TG0173,literature,L027-S003,L027,,,棉,织物,100% cotton,C-POSS-P,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,283.54,315.8,,,,,,,,,24.02,,,,25.2,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
173,TG0174,literature,L027-S004,L027,,,棉,织物,100% cotton,C-POSS-P/W,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,304.9,328.49,,,,,,,,,15.42,,,,,是,否,否,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,洗涤样LOI仅图示，首批未数字化
174,TG0175,literature,L027-S005,L027,,,棉,织物,100% cotton,C-D4,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,341.72,363.04,,,,,,,,,5.96,,,,18.0,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
175,TG0176,literature,L027-S006,L027,,,棉,织物,100% cotton,C-D4-P,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,293.95,323.56,,,,,,,,,19.01,,,,24.1,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
176,TG0177,literature,L027-S007,L027,,,棉,织物,100% cotton,C-D4-P/W,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,313.56,330.71,,,,,,,,,11.88,,,,,是,否,否,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,洗涤样LOI仅图示，首批未数字化
177,TG0178,literature,L027-S008,L027,,,棉,织物,100% cotton,C-PS,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,340.62,361.63,,,,,,,,,11.59,,,,18.0,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
178,TG0179,literature,L027-S009,L027,,,棉,织物,100% cotton,C-PS-P,功能/阻燃改性,alkoxysilyl-functionalized polysiloxane/cyclosiloxane/POSS with dithiophosphate grafting,,,,synthetic air,60.0,10,,,,294.29,322.15,,,,,,,,,18.13,,,,23.8,是,是,是,"Flame-Retardant and Hydrophobic Cotton via Alkoxysilyl-Functionalized Polysiloxanes, Cyclosiloxanes, and POSS with Surface Thiol-Ene Dithiophosphate Grafting",2026.0,Materials,10.3390/ma19020265,https://doi.org/10.3390/ma19020265,Table 4,
