<PARSED TEXT FOR SHEET: 1 / 1 TABS,DOI,FR_concentration_g_L,LOI_max_pct,LOI_min_pct,LOI_pct,LOI_state,LOI_uncertainty_pct,PA_UR_concentration_g_L,PA_dosage_owf_pct,R400_pct,R500_pct,R550_pct,R600_pct,R650_pct,R700_pct,R750_pct,R800_pct,T10_C,T1_C,T20_C,T40_C,T50_C,T5_C,Tmax1_C,Tmax2_C,Tmax3_C,Tmax4_C,Tonset_C,add_on_pct,add_on_pct_initial,application,area_density_g_m2,atmosphere,batch_id,bilayers,commercial_FR_product,commercial_fabric_id,composition,dataset_type,decomposition_end_C,direct_numeric_use,evidence,gas_flow_mL_min,grafting_pct,heating_rate_C_min,journal,limitations,loading_pct,material_category,material_form,material_form_LOI,material_form_TGA,max_mass_loss_rate,max_mass_loss_rate1,max_mass_loss_rate2,rate_unit,residue_at_Tmax1_pct,residue_at_Tmax2_pct,residue_at_Tmax3_pct,residue_at_Tmax_pct,sample_state,source_file,source_location,source_title,source_type,source_url,stage1_end_C,stage1_mass_loss_pct,stage1_start_C,stage2_end_C,stage2_mass_loss_pct,stage2_start_C,stage3_mass_loss_pct,stage3_start_C,treatment_chemistry,treatment_method,treatment_state,trilayers,washing_state,weight_gain_pct,year,pair_quality,pair_key
,10.3390/polym16101409,,,,29.7,as prepared,,,,,,,,,34.1,,,,,,,,249.7,290.1,,,,,11.5,,,,N2,B20260921-202,,,,100% cotton,,,TG+LOI,"Open full text explicitly reports TGA conditions (N2 or air, 25 mL/min, 10 °C/min, 40–700 °C), N2 T5/Tdmax/Rdmax/residual mass for Cotton, ATMP-CS@C5.5 and ATMP-CS@C11.5, and Table 1 LOI values for the same sample states.",25.0,,10.0,Polymers,ATMP-CS@C8.5 is not entered because its exact TGA values are only in Supplementary Table S1 and were not numerically accessible in the main text. Residual mass is assigned to R700 because the TGA run ends at 700 °C.,,cotton,fabric,,,0.65,,,%/°C,,,,,ATMP-CS@C11.5,data/incoming/verified_web_batch_20260921_b19_cotton_atmp_cs.csv,Methods §2.3–2.4; Results §3.3; Table 1,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11125217/,,,,,,,,,ATMP-CS chitosan-based phosphorus-containing coating,cotton pretreated with 1.0 M NaOH at 100 °C for 1 h; dipping–rolling–drying ATMP-CS coating; dry 80 °C,FR treated,,,,2024.0,A,10.3390/polym16101409||ATMP-CS@C11.5||N2||10.0
,10.3390/ma17061346,,,,17.1,as prepared,,0.0,,,,,0.8,,,,,,,,,,288.7,324.7,404.0,485.2,,,,,,,air,B20260921-191,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,Control T/C,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,untreated,,,0.0,2024.0,A,10.3390/ma17061346||Control T/C||air||10.0
,10.3390/ma17061346,,,,27.3,as prepared,,150.0,,,,,14.4,,,,,,,,,,247.8,276.5,405.5,513.6,,,,,,,air,B20260921-192,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,T/C-1,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,FR treated,,,12.3,2024.0,A,10.3390/ma17061346||T/C-1||air||10.0
,10.3390/ma17061346,,,,31.8,as prepared,,300.0,,,,,10.3,,,,,,,,,,226.5,267.6,402.6,524.8,,,,,,,air,B20260921-193,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,T/C-2,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,FR treated,,,17.9,2024.0,A,10.3390/ma17061346||T/C-2||air||10.0
,10.3390/ma17061346,,,,17.1,as prepared,,0.0,,,,,10.1,,,,,,,,,,329.5,369.8,434.7,,,,,,,,N2,B20260921-194,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,Control T/C,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,untreated,,,0.0,2024.0,A,10.3390/ma17061346||Control T/C||N2||10.0
,10.3390/ma17061346,,,,27.3,as prepared,,150.0,,,,,25.1,,,,,,,,,,256.9,300.1,427.5,,,,,,,,N2,B20260921-195,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,T/C-1,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,FR treated,,,12.3,2024.0,A,10.3390/ma17061346||T/C-1||N2||10.0
,10.3390/ma17061346,,,,31.8,as prepared,,300.0,,,,,27.8,,,,,,,,,,232.5,283.1,441.6,,,,,,,,N2,B20260921-196,,,,polyester/cotton blend; exact blend ratio not transcribed from accessible text,,,TG+LOI,"Open-access Materials 2024 article. TG/DTG measured to 600 °C in both air and nitrogen at 10 °C/min; Table 1 gives T5, DTG maxima and R600. LOI values are reported for Control, T/C-1 and T/C-2.",,,10.0,Materials,Exact polyester/cotton blend ratio and fabric area density were not recoverable from the currently accessible text and are left unspecified rather than inferred.,,polyester/cotton blend,fabric,,,,,,,,,,,T/C-2,data/incoming/verified_web_batch_20260921_b19_pet_cotton_urea_phytate.csv,Experimental section; TG/DTG Table 1; LOI/flammability section,Enhancing the Flame Retardancy of Polyester/Cotton Blend Fabrics Using Biobased Urea–Phytate Salt,,https://www.mdpi.com/1996-1944/17/6/1346,,,,,,,,,phytic acid–urea (PA-UR) phosphorus/nitrogen flame retardant,immerse in PA-UR finishing bath at 60 °C for 30 min; pad to ~100±5% liquid carrying; predry at 80 °C; cure at 160 °C for 3 min; wash and dry,FR treated,,,17.9,2024.0,A,10.3390/ma17061346||T/C-2||N2||10.0
,10.1155/2019/7150736,,,,21.0,0 washing cycles,,,,,10.61,,9.19,,,,,404.0,,,,432.0,,,,,,,,,,,N2,B20260921-018,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,REF,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,,,untreated,,,,2019.0,A,10.1155/2019/7150736||REF||N2||10.0
,10.1155/2019/7150736,,,,21.9,0 washing cycles,,,,,17.34,,15.68,,,,,396.0,,,,424.0,,,,,,,,,,,N2,B20260921-019,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,Z50,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,zinc borate dispersion 50 g/L,pad-dry-cure; pickup 92.35%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||Z50||N2||10.0
,10.1155/2019/7150736,,,,22.9,0 washing cycles,,,,,18.74,,17.09,,,,,398.0,,,,427.0,,,,,,,,,,,N2,B20260921-020,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,Z100,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,zinc borate dispersion 100 g/L,pad-dry-cure; pickup 91.25%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||Z100||N2||10.0
,10.1155/2019/7150736,,,,23.1,0 washing cycles,,,,,19.74,,17.95,,,,,400.0,,,,429.0,,,,,,,,,,,N2,B20260921-021,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,Z200,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,zinc borate dispersion 200 g/L,pad-dry-cure; pickup 90.75%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||Z200||N2||10.0
,10.1155/2019/7150736,,,,31.3,0 washing cycles,,,,,16.45,,14.86,,,,,391.0,,,,430.0,,,,,,,,,,,N2,B20260921-022,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,PSY,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,alkyl phosphonate commercial FR (PSY) 80 g/L,pad-dry-cure; pickup 87.74%; pH 5.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||PSY||N2||10.0
,10.1155/2019/7150736,,,,24.4,0 washing cycles,,,,,14.02,,12.17,,,,,394.0,,,,428.0,,,,,,,,,,,N2,B20260921-023,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,PSY-Z20,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,PSY 60 g/L + zinc borate dispersion 20 g/L,pad-dry-cure; pickup 97.20%; pH 5.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||PSY-Z20||N2||10.0
,10.1155/2019/7150736,,,,33.8,0 washing cycles,,,,,14.28,,12.67,,,,,397.0,,,,431.0,,,,,,,,,,,N2,B20260921-024,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,PEK,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,organophosphorus commercial FR (PEK) 100 g/L,pad-dry-cure; pickup 90.87%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||PEK||N2||10.0
,10.1155/2019/7150736,,,,33.5,0 washing cycles,,,,,13.64,,11.94,,,,,398.0,,,,430.0,,,,,,,,,,,N2,B20260921-025,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,PEK-Z25,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,PEK 75 g/L + zinc borate dispersion 25 g/L,pad-dry-cure; pickup 90.60%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||PEK-Z25||N2||10.0
,10.1155/2019/7150736,,,,31.0,0 washing cycles,,,,,12.23,,10.29,,,,,401.0,,,,432.0,,,,,,,,,,,N2,B20260921-026,,,,PET,,,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",,,10.0,Advances in Polymer Technology,LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.,,polyester,woven fabric,,,,,,,,,,,PEK-Z50,data/incoming/verified_web_batch_20260921_b2.csv,"Methods §2.3; Tables 1, 4, 5",Effect of Zinc Borate on Flammability of PET Woven Fabrics,,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,,,,,,,,,PEK 50 g/L + zinc borate dispersion 50 g/L,pad-dry-cure; pickup 89.30%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,FR treated,,,,2019.0,A,10.1155/2019/7150736||PEK-Z50||N2||10.0
,10.1007/s42452-025-08163-y,,,,17.4,0 washing cycles,,,,,,,10.8,,,,,,,,,,328.0,378.5,444.6,,,,,,,,N2,B20260921-027,,,,100% cotton,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,cotton,single jersey knitted fabric,,,,,,,,,,34.7,UCtn,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,,,untreated,,,,2026.0,A,10.1007/s42452-025-08163-y||UCtn||N2||5.0
,10.1007/s42452-025-08163-y,,,,24.1,0 washing cycles,,,,,,,10.9,,,,,,,,,,250.0,366.4,439.3,,,,,,,,N2,B20260921-028,,,,100% cotton,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,cotton,single jersey knitted fabric,,,,,,,,,,38.6,BSCtn,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||BSCtn||N2||5.0
,10.1007/s42452-025-08163-y,,,,23.8,0 washing cycles,,,,,,,14.0,,,,,,,,,,300.4,374.2,443.7,,,,,,,,N2,B20260921-029,,,,100% cotton,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,Table 3 uses TSCtn whereas sample-definition/LOI table uses TLCtn; treated as the same tea-leaf cotton state.,,cotton,single jersey knitted fabric,,,,,,,,,,35.8,TSCtn (TLCtn elsewhere),data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||TSCtn (TLCtn elsewhere)||N2||5.0
,10.1007/s42452-025-08163-y,,,,16.1,0 washing cycles,,,,,,,2.0,,,,,,,,,,80.4,,360.5,,,,,,,,N2,B20260921-030,,,,100% viscose,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,viscose,single jersey knitted fabric,,,,,,,,,,29.8,UVis,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,,,untreated,,,,2026.0,A,10.1007/s42452-025-08163-y||UVis||N2||5.0
,10.1007/s42452-025-08163-y,,,,23.1,0 washing cycles,,,,,,,13.2,,,,,,,,,,104.1,,343.9,,,,,,,,N2,B20260921-031,,,,100% viscose,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,viscose,single jersey knitted fabric,,,,,,,,,,41.8,BSVis,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||BSVis||N2||5.0
,10.1007/s42452-025-08163-y,,,,24.5,0 washing cycles,,,,,,,12.7,,,,,,,,,,221.3,370.4,442.2,,,,,,,,N2,B20260921-032,,,,100% viscose,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,viscose,single jersey knitted fabric,,,,,,,,,,33.1,TLVis,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||TLVis||N2||5.0
,10.1007/s42452-025-08163-y,,,,29.4,0 washing cycles,,,,,,,69.7,,,,,,,,,,428.8,,602.9,,,,,,,,N2,B20260921-033,,,,100% para-aramid,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,para-aramid,single jersey knitted fabric,,,,,,,,,,66.3,UPA,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,,,untreated,,,,2026.0,A,10.1007/s42452-025-08163-y||UPA||N2||5.0
,10.1007/s42452-025-08163-y,,,,36.2,0 washing cycles,,,,,,,46.1,,,,,,,,,,98.5,,603.8,,,,,,,,N2,B20260921-034,,,,100% para-aramid,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,para-aramid,single jersey knitted fabric,,,,,,,,,,42.9,BSPA,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,bean seed natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||BSPA||N2||5.0
,10.1007/s42452-025-08163-y,,,,37.2,0 washing cycles,,,,,,,61.5,,,,,,,,,,218.5,,611.1,,,,,,,,N2,B20260921-035,,,,100% para-aramid,,,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",,,5.0,Discover Applied Sciences,,,para-aramid,single jersey knitted fabric,,,,,,,,,,52.5,TLPA,data/incoming/verified_web_batch_20260921_b2.csv,Methods §3.3; Tables 3 and 4,Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,,https://link.springer.com/article/10.1007/s42452-025-08163-y,,,,,,,,,tea leaf natural FR + 10% rubber gum,padding mangle; 40% pickup; dry 90 °C 2 min; cure 150 °C 30 s,FR treated,,,,2026.0,A,10.1007/s42452-025-08163-y||TLPA||N2||5.0
,10.3390/polym17111529,,,,31.4,as prepared,,,,,,,,,,,51.2,,,,,,387.3,461.1,,,,,,,,,N2,B20260921-036,,,,meta-aramid fabric,,,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,50.0,,10.0,Polymers,,,meta-aramid,plain-woven fabric,,,,,,,,,,,AF,data/incoming/verified_web_batch_20260921_b2.csv,Methods; Tables 1–3,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",,https://www.mdpi.com/2073-4360/17/11/1529,,,,,,,,,,,untreated,,,,2025.0,A,10.3390/polym17111529||AF||N2||10.0
,10.3390/polym17111529,,,,20.9,as prepared,,,,,,,,,,,22.9,,,,,,271.3,324.4,,,,,,,,,N2,B20260921-037,,,,meta-aramid fabric,,,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,50.0,,10.0,Polymers,,,meta-aramid,plain-woven fabric,,,,,,,,,,,PUA/AF-1,data/incoming/verified_web_batch_20260921_b2.csv,Methods; Tables 1–3,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",,https://www.mdpi.com/2073-4360/17/11/1529,,,,,,,,,polyurea coating; no OP550,scraping coating,PUA coated,,,,2025.0,A,10.3390/polym17111529||PUA/AF-1||N2||10.0
,10.3390/polym17111529,,,,26.5,as prepared,,,,,,,,,,,33.4,,,,,,238.1,351.1,,,,,,,,,N2,B20260921-038,,,,meta-aramid fabric,,,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,50.0,,10.0,Polymers,,,meta-aramid,plain-woven fabric,,,,,,,,,,,PUA/AF-2,data/incoming/verified_web_batch_20260921_b2.csv,Methods; Tables 1–3,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",,https://www.mdpi.com/2073-4360/17/11/1529,,,,,,,,,polyurea coating + Exolit OP550; 21.9 wt% in coating,scraping coating,FR PUA coated,,,,2025.0,A,10.3390/polym17111529||PUA/AF-2||N2||10.0
,10.3390/polym17111529,,,,26.9,as prepared,,,,,,,,,,,31.6,,,,,,233.9,340.2,,,,,,,,,N2,B20260921-039,,,,meta-aramid fabric,,,yes,Open full text numerical TGA/DTG Table 2 + LOI Table 3; TGA condition reported in Methods,50.0,,10.0,Polymers,,,meta-aramid,plain-woven fabric,,,,,,,,,,,PUA/AF-3,data/incoming/verified_web_batch_20260921_b2.csv,Methods; Tables 1–3,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",,https://www.mdpi.com/2073-4360/17/11/1529,,,,,,,,,polyurea coating + Exolit OP550; 24.1 wt% in coating,scraping coating,FR PUA coated,,,,2025.0,A,10.3390/polym17111529||PUA/AF-3||N2||10.0
